City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cifuentes,22.645,-80.0461,31.17,70,75,4.12,CU,1725294579
1,port-aux-francais,-49.35,70.2167,0.61,59,100,10.92,TF,1725294579
2,kununurra,-15.7667,128.7333,21.99,68,14,0.0,AU,1725294579
3,weno,7.4515,151.8468,27.97,78,100,2.06,FM,1725294580
4,lata,40.1629,-8.3327,24.16,56,100,5.86,PT,1725294580
5,melekeok village,7.4957,134.6367,25.31,94,75,1.54,PW,1725294580
6,invercargill,-46.4,168.35,7.79,91,95,7.15,NZ,1725294580
7,kodiak,57.79,-152.4072,9.73,93,100,2.06,US,1725294580
8,blackmans bay,-43.0167,147.3167,6.07,81,38,0.45,AU,1725294554
9,beira,-19.8436,34.8389,24.05,73,20,5.66,MZ,1725294580
10,punta arenas,-53.15,-70.9167,8.06,71,0,5.66,CL,1725294580
11,adamstown,-25.066,-130.1015,17.76,53,98,5.16,PN,1725294581
12,iskateley,67.6803,53.1512,7.75,82,99,6.86,RU,1725294582
13,tazovsky,67.4667,78.7,6.84,94,100,4.16,RU,1725294582
14,jamestown,42.097,-79.2353,18.9,56,75,4.12,US,1725294450
15,olonkinbyen,70.9221,-8.7187,6.51,91,99,10.32,SJ,1725294582
16,arteche,12.2645,125.4048,25.79,88,100,2.53,PH,1725294582
17,waitangi,-43.9535,-176.5597,12.12,91,66,3.58,NZ,1725294582
18,talara,-4.5772,-81.2719,22.42,68,0,8.75,PE,1725294583
19,qaqortoq,60.7167,-46.0333,9.95,38,28,0.81,GL,1725294583
20,kavieng,-2.5744,150.7967,27.69,78,95,4.27,PG,1725294583
21,mount pearl,47.5166,-52.7813,24.19,89,75,4.63,CA,1725294583
22,maridi,4.9158,29.4742,21.56,90,62,1.27,SS,1725294583
23,saint-pierre,-21.3393,55.4781,21.82,68,40,1.54,RE,1725294583
24,puerto natales,-51.7236,-72.4875,10.25,53,75,8.75,CL,1725294583
25,klyuchi,52.2667,79.1667,12.6,56,100,7.04,RU,1725294584
26,stanley,54.868,-1.6985,19.09,85,75,4.12,GB,1725294434
27,grytviken,-54.2811,-36.5092,3.64,94,99,6.37,GS,1725294584
28,taoudenni,22.6783,-3.9836,40.78,22,46,6.49,ML,1725294584
29,yellowknife,62.456,-114.3525,15.31,88,75,2.57,CA,1725294584
30,tongchuanshi,35.0806,109.0897,20.52,85,60,3.11,CN,1725294584
31,ambodifotatra,-16.9833,49.85,23.0,77,12,4.23,MG,1725294584
32,carlsbad,33.1581,-117.3506,25.36,90,100,1.34,US,1725294584
33,college,64.8569,-147.8028,4.97,91,75,1.54,US,1725294584
34,atasu,48.6814,71.6433,12.75,39,44,2.07,KZ,1725294584
35,iquique,-20.2208,-70.1431,17.39,68,1,3.02,CL,1725294489
36,georgetown,5.4112,100.3354,27.96,86,20,0.51,MY,1725294415
37,anadyr,64.75,177.4833,10.28,81,0,6.0,RU,1725294584
38,bikenibeu village,1.3673,173.1241,27.98,78,75,4.63,KI,1725294585
39,papatowai,-46.5619,169.4708,8.36,93,48,7.05,NZ,1725294585
40,edinburgh of the seven seas,-37.0676,-12.3116,8.73,66,95,12.84,SH,1725294585
41,albany,42.6001,-73.9662,22.47,57,9,1.79,US,1725294584
42,semnan,35.5729,53.3971,28.09,14,0,1.65,IR,1725294585
43,usogorsk,63.4106,48.6872,12.97,66,95,3.57,RU,1725294585
44,dalbandin,28.8947,64.4101,33.23,11,11,5.1,PK,1725294585
45,vorgashor,67.5833,63.95,6.07,84,99,8.4,RU,1725294585
46,mugia,43.1041,-9.2179,18.28,74,87,7.52,ES,1725294586
47,avarua,-21.2078,-159.775,23.03,83,100,9.77,CK,1725294586
48,codrington,-38.2667,141.9667,7.77,84,37,4.35,AU,1725294586
49,ilulissat,69.2167,-51.1,4.01,81,75,1.54,GL,1725294586
50,sitka,57.0531,-135.33,12.94,88,100,0.0,US,1725294586
51,castilho,-20.8722,-51.4875,34.74,17,46,1.39,BR,1725294586
52,thompson,55.7435,-97.8558,19.09,68,75,4.12,CA,1725294586
53,magnitka,55.3475,59.6961,12.31,79,77,4.43,RU,1725294586
54,mayqayyng,51.4625,75.7986,12.95,55,84,8.11,KZ,1725294586
55,keelung,25.1283,121.7419,30.19,68,51,4.53,TW,1725294586
56,amga,60.8953,131.9608,7.65,91,100,2.61,RU,1725294586
57,hawaiian paradise park,19.5933,-154.9731,23.28,93,100,3.6,US,1725294586
58,zunyi,27.6867,106.9072,23.35,80,6,0.81,CN,1725294587
59,filiatra,37.15,21.5833,28.01,60,0,2.38,GR,1725294587
60,whitehorse,60.7161,-135.0538,7.43,81,75,0.0,CA,1725294587
61,bethel,41.3712,-73.414,24.74,59,75,5.14,US,1725294393
62,north ward,-19.2454,146.8075,18.95,94,1,0.0,AU,1725294587
63,revda,56.801,59.9303,14.41,77,76,5.05,RU,1725294587
64,keflavik,64.0049,-22.5624,10.24,76,100,1.03,IS,1725294587
65,tabas,33.5959,56.9244,33.12,10,0,3.09,IR,1725294587
66,constantia,44.1833,28.65,27.61,76,70,1.87,RO,1725294587
67,veraval,20.9,70.3667,26.99,89,100,3.61,IN,1725294587
68,san antonio de pale,-1.4014,5.6325,24.25,84,50,3.96,GQ,1725294587
69,hermanus,-34.4187,19.2345,21.0,63,38,0.8,ZA,1725294587
70,kittila,67.6647,24.8936,15.08,82,100,3.09,FI,1725294588
71,robore,-18.3333,-59.75,28.05,47,1,0.0,BO,1725294588
72,kokopo,-4.352,152.2633,24.53,87,83,2.72,PG,1725294588
73,linjiang,41.8069,126.9078,9.17,93,0,0.98,CN,1725294588
74,ushuaia,-54.8,-68.3,7.81,57,40,1.03,AR,1725294576
75,west island,-12.1568,96.8225,25.99,83,20,5.14,CC,1725294588
76,island harbour,50.724,-1.2758,19.46,92,100,0.89,GB,1725294588
77,las heras,-46.5419,-68.9359,8.77,44,68,3.74,AR,1725294588
78,chern',53.4523,36.9145,23.98,28,9,3.96,RU,1725294588
79,kalmunai,7.4167,81.8167,28.9,70,99,1.27,LK,1725294588
80,chonchi,-42.6128,-73.8092,8.95,81,87,3.63,CL,1725294588
81,nadym,65.5333,72.5167,6.0,93,100,6.08,RU,1725294589
82,greenville,35.6127,-77.3663,27.01,100,75,2.06,US,1725294571
83,udachny,66.4167,112.4,12.33,70,100,3.51,RU,1725294589
84,colonia,50.9333,6.95,21.13,83,20,3.6,DE,1725294589
85,san patricio,28.017,-97.5169,29.97,69,30,4.9,US,1725294589
86,mhlume,-26.0333,31.85,20.54,63,0,2.5,SZ,1725294589
87,puerto baquerizo moreno,-0.9,-89.6,24.55,88,40,4.63,EC,1725294589
88,bubaque,11.2833,-15.8333,26.43,85,90,7.32,GW,1725294589
89,sao vicente,-23.9631,-46.3919,21.1,26,100,1.03,BR,1725294589
90,hithadhoo,-0.6,73.0833,28.67,77,100,4.58,MV,1725294590
91,iqaluit,63.7506,-68.5145,4.85,75,100,2.57,CA,1725294476
92,happy valley-goose bay,53.3168,-60.3315,17.17,55,75,4.63,CA,1725294488
93,salekhard,66.53,66.6019,8.71,72,94,6.56,RU,1725294590
94,vilani,56.5525,26.9245,20.84,57,99,4.65,LV,1725294590
95,waingapu,-9.6567,120.2641,24.23,86,8,2.92,ID,1725294590
96,at taj,24.2049,23.2857,39.28,18,8,3.66,LY,1725294590
97,vadso,70.0744,29.7487,17.09,72,100,2.57,NO,1725294590
98,sapulpa,35.9987,-96.1142,25.92,63,0,3.6,US,1725294524
99,kismayo,-0.3582,42.5454,25.06,73,8,7.07,SO,1725294590
100,bolivar,37.6145,-93.4105,24.03,56,37,5.75,US,1725294590
101,pavullo nel frignano,44.3315,10.835,22.42,67,99,1.54,IT,1725294591
102,vodnyy,63.5046,53.4095,12.07,72,100,4.17,RU,1725294591
103,ust-nera,64.5667,143.2,5.35,99,100,3.47,RU,1725294591
